station_id,collection_time,ph,do,nh3n,turbidity,temperature,cod,total_phosphorus
ST001,2026-04-01 00:00:00,7.15,7.22,0.15,8.85,16.72,19.65,0.24
ST002,2026-04-01 00:00:00,7.48,6.16,0.27,7.41,16.44,20.36,0.17
ST003,2026-04-01 00:00:00,7.53,4.64,0.41,7.98,15.91,17.88,0.23
ST001,2026-04-01 04:00:00,6.98,6.76,0.06,7.36,18.63,18.27,0.21
ST002,2026-04-01 04:00:00,7.24,5.69,0.23,9.09,18.48,18.41,0.22
ST003,2026-04-01 04:00:00,7.48,4.29,0.37,6.79,18.74,21.11,0.21
ST001,2026-04-01 08:00:00,7.09,6.44,0.06,7.23,20.95,21.59,0.21
ST002,2026-04-01 08:00:00,7.22,5.56,0.23,7.26,22.23,21.55,0.22
ST003,2026-04-01 08:00:00,7.62,3.94,0.46,8.46,20.92,19.72,0.18
ST001,2026-04-01 12:00:00,7.18,6.91,0.17,7.7,24.2,20.54,0.47
ST002,2026-04-01 12:00:00,7.64,6.06,0.25,8.88,19.86,21.23,0.21
ST003,2026-04-01 12:00:00,7.87,4.27,0.37,7.59,23.43,22.22,0.19
ST001,2026-04-01 16:00:00,7.32,7.15,0.16,7.99,20.86,20.77,0.21
ST002,2026-04-01 16:00:00,7.8,6.11,0.24,7.47,19.74,20.44,0.21
ST003,2026-04-01 16:00:00,8.0,4.7,0.39,7.45,21.09,18.8,0.2
ST001,2026-04-01 20:00:00,7.34,7.88,0.13,7.94,18.41,17.12,0.2
ST002,2026-04-01 20:00:00,7.61,6.99,0.24,7.97,18.46,18.25,0.23
ST003,2026-04-01 20:00:00,7.98,5.16,0.41,8.77,16.82,20.88,0.25
ST001,2026-04-02 00:00:00,7.0,7.14,0.12,7.38,15.14,20.1,0.18
ST002,2026-04-02 00:00:00,7.45,6.07,0.31,7.18,16.61,21.22,0.18
ST003,2026-04-02 00:00:00,7.72,5.01,0.39,7.88,17.31,21.17,0.18
ST001,2026-04-02 04:00:00,6.87,6.85,0.13,7.93,18.92,18.98,0.21
ST002,2026-04-02 04:00:00,7.33,5.61,0.32,8.09,17.07,20.98,0.19
ST003,2026-04-02 04:00:00,7.68,4.48,0.42,8.45,19.0,21.23,0.24
ST001,2026-04-02 08:00:00,7.08,6.35,0.08,7.16,21.41,20.51,0.21
ST002,2026-04-02 08:00:00,7.48,5.5,0.31,7.56,24.76,20.94,0.19
ST003,2026-04-02 08:00:00,7.59,4.1,0.44,8.27,22.07,19.89,0.19
ST001,2026-04-02 12:00:00,7.15,6.66,0.15,7.91,21.51,20.26,0.21
ST002,2026-04-02 12:00:00,7.51,5.78,0.25,6.92,23.43,20.84,0.23
ST003,2026-04-02 12:00:00,8.01,3.97,0.41,8.12,23.62,20.77,0.28
ST001,2026-04-02 16:00:00,7.46,7.48,0.16,8.22,21.12,21.14,0.19
ST002,2026-04-02 16:00:00,7.68,6.15,0.25,9.43,19.26,21.03,0.17
ST003,2026-04-02 16:00:00,7.95,4.97,0.45,6.97,20.64,21.02,0.19
ST001,2026-04-02 20:00:00,7.32,7.51,0.09,9.3,19.26,16.96,0.21
ST002,2026-04-02 20:00:00,7.53,6.67,0.22,7.67,19.11,21.3,0.18
ST003,2026-04-02 20:00:00,7.87,4.91,0.42,9.03,18.99,18.11,0.22
ST001,2026-04-03 00:00:00,7.31,7.46,0.06,7.4,18.52,18.94,0.21
ST002,2026-04-03 00:00:00,7.48,6.06,0.25,5.4,15.77,19.62,0.18
ST003,2026-04-03 00:00:00,7.86,4.46,0.43,7.84,18.73,17.85,0.23
ST001,2026-04-03 04:00:00,7.0,6.55,0.14,7.89,17.78,20.1,0.2
